family,spp_total_family,spp_analysed_family,obs
Anhimidae,2,0,
Anatidae,23,0,
Phoenicopteridae,2,0,
Podicipedidae,4,1,
Aramidae,1,0,
Rallidae,28,1,"We did not consider genera Anurolimnas, Rufirallus, Micropygia."
Heliornithidae,1,0,
Charadriidae,10,1,
Haematopodidae,1,1,
Recurvirostridae,1,0,
Chionidae,1,0,
Scolopacidae,24,3,"We did not consider genera Bartramia, Thinocorus."
Stercorariidae,6,2,
Laridae,22,13,"We considered Sterna dougallii in the total number of species (Pacheco et al. 2021 [Ornithology Research] classify it as both, ‘Visitant’ and ‘Vagrant’; p. 19)."
Phaethontidae,2,1,
Spheniscidae,1,1,
Diomedeidae,9,7,"We considered Diomedea sanfordi, Phoebetria palpebrata, and Thalassarche cauta in the total number of species (Although Pacheco et al. 2021 [Ornithology Research] classify them as ‘Vagrants’; p. 20)."
Oceanitidae,3,0,"*Although Nacimento et al. 2022 (Biodiversidade Brasileira, 12(1): 15-24) report on ‘Oceanites oceanicus’, it is not included here"
Hydrobatidae,1,0,
Procellariidae,21,19,"We considered Halobaena caerulea in the total number of species, as one study analysed stomach contents from this species."
Ciconiidae,3,1,
Fregatidae,3,1,
Sulidae,3,2,
Anhingidae,1,1,
Phalacrocoracidae,1,1,
Ardeidae,19,7,
Threskiornithidae,8,1,
Alcedinidae,5,1,
